City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Acapulco,MX,2021-04-24 03:19:47,16.8634,-99.8901,80.6,78,40,4.61,scattered clouds
244,Carndonagh,IE,2021-04-24 03:19:47,55.25,-7.2667,45.23,64,100,5.28,overcast clouds
245,Shingu,JP,2021-04-24 03:19:47,33.7333,135.9833,64.4,63,75,10.36,broken clouds
246,Atar,MR,2021-04-24 03:19:48,20.5169,-13.0499,75.99,16,0,6.4,clear sky
247,Provideniya,RU,2021-04-24 03:17:08,64.3833,-173.3,39.18,63,31,4.07,scattered clouds
248,Chumikan,RU,2021-04-24 03:19:48,54.7183,135.315,38.08,53,98,7.45,overcast clouds
249,Peringat,MY,2021-04-24 03:19:49,6.0333,102.2833,86.0,79,20,3.44,few clouds
250,Luderitz,NA,2021-04-24 03:19:49,-26.6481,15.1594,62.2,78,3,7.45,clear sky
251,Paso De Los Toros,UY,2021-04-24 03:19:50,-32.8167,-56.5167,66.2,78,99,7.23,light rain
252,San Patricio,US,2021-04-24 03:16:39,28.017,-97.5169,75.99,94,90,12.66,overcast clouds
253,Luwuk,ID,2021-04-24 03:19:50,-0.9516,122.7875,82.72,78,93,4.07,overcast clouds
254,Tashla,RU,2021-04-24 03:19:51,51.7716,52.7427,44.76,95,100,5.41,overcast clouds
255,Olafsvik,IS,2021-04-24 03:19:51,64.8945,-23.7142,43.12,95,100,11.63,overcast clouds
256,Jaffna,LK,2021-04-24 03:19:51,9.6685,80.0074,83.8,74,7,6.08,clear sky
257,Saldanha,ZA,2021-04-24 03:17:03,-33.0117,17.9442,53.6,87,80,3.44,broken clouds
258,Khash,IR,2021-04-24 03:19:52,28.2211,61.2158,73.4,6,0,1.92,clear sky
259,Puerto Leguizamo,CO,2021-04-24 03:18:13,-0.1934,-74.7819,72.68,98,21,1.43,few clouds
260,Nema,RU,2021-04-24 03:19:53,57.5067,50.5011,41.07,88,39,7.4,scattered clouds
261,Wanaka,NZ,2021-04-24 03:19:53,-44.7,169.15,57.99,60,99,1.01,overcast clouds
