City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Dauphin,CA,2021-04-21 07:25:37,51.1494,-100.0502,33.8,69,90,8.05
126,Yashan,CN,2021-04-21 07:25:37,22.1975,109.9419,82.6,71,70,11.95
127,Lebu,CL,2021-04-21 07:25:37,-37.6167,-73.65,54.03,94,99,8.25
128,Natal,BR,2021-04-21 07:25:38,-5.795,-35.2094,77.0,94,0,3.44
129,Sarangani,PH,2021-04-21 07:25:38,5.4033,125.4636,83.61,73,39,16.71
130,Castro,BR,2021-04-21 07:25:39,-24.7911,-50.0119,53.24,95,96,6.69
131,Comacchio,IT,2021-04-21 07:25:39,44.6975,12.1858,57.0,63,0,7.27
132,Prieska,ZA,2021-04-21 07:25:39,-29.6641,22.7474,73.6,25,6,20.0
133,Lodja,CD,2021-04-21 07:25:40,-3.4833,23.4333,71.62,95,100,3.42
134,Kandrian,PG,2021-04-21 07:25:40,-6.2167,149.55,80.56,85,100,6.6
135,Bay Roberts,CA,2021-04-21 07:25:41,47.5999,-53.2648,36.0,90,100,4.0
136,Kuzovatovo,RU,2021-04-21 07:25:41,53.5468,47.6866,36.01,79,100,20.2
137,North Platte,US,2021-04-21 07:25:41,41.1239,-100.7654,26.01,80,1,6.91
138,Hasaki,JP,2021-04-21 07:25:42,35.7333,140.8333,75.0,42,20,9.22
139,Nantucket,US,2021-04-21 07:21:33,41.2835,-70.0995,50.0,87,1,10.36
140,Chinchani,IN,2021-04-21 07:25:42,19.8667,72.7,86.07,59,100,11.77
141,Longyearbyen,SJ,2021-04-21 07:25:43,78.2186,15.6401,23.0,68,75,6.91
142,Sebastian,US,2021-04-21 07:25:43,35.1668,-94.2669,33.8,86,1,5.75
143,Buala,SB,2021-04-21 07:25:44,-8.145,159.5921,82.17,79,68,3.18
144,Beringovskiy,RU,2021-04-21 07:25:44,63.05,179.3167,20.46,91,49,0.98
145,Pangnirtung,CA,2021-04-21 07:25:45,66.1451,-65.7125,17.92,74,92,10.13
146,Sheridan,US,2021-04-21 07:25:45,44.8333,-106.9173,23.0,73,1,5.55
147,Seydi,TM,2021-04-21 07:25:45,39.4816,62.9137,68.07,32,0,12.01
148,Padborg,DK,2021-04-21 07:25:46,54.8266,9.3625,46.99,87,61,12.66
149,Saldanha,ZA,2021-04-21 07:25:46,-33.0117,17.9442,59.0,88,99,4.61
150,Turinsk,RU,2021-04-21 07:25:47,58.0458,63.696,50.67,51,38,5.75
